symbol,YahooSymbolClean,industry,Main Industry,Sub Industry,country,HQ_Lat,HQ_Lon,HQ_Resolved_Address,companyName,exchange_code,inclusion_reason,product_url,marketCapBillions,marketCap,revenue,netIncome,price,peRatio,growthRevenue,growthNetIncome,returnOnAssetsTTM,returnOnEquityTTM,fcc_cik
AIF,AIF,Geospatial Technology,Technology,ANALYTICS,Canada,,,,,TSX,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
AON,AON,Geospatial Technology,Technology,ANALYTICS,United States,,,,,NYSE,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
BVI,BVI,Geospatial Technology,Technology,ANALYTICS,Europe,,,,,EURONEXT,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
DSAI,DSAI,Geospatial Technology,Technology,ANALYTICS,Canada,,,,,CSE,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
DND,DND,Geospatial Technology,Technology,ANALYTICS,Canada,,,,,TSX,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
EQ,EQ,Geospatial Technology,Technology,ANALYTICS,Canada,,,,,TSXV,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
AIG,AIG,Geospatial Technology,Technology,ANALYTICS,Canada,,,,,CSE,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
IAI,IAI,Geospatial Technology,Technology,ANALYTICS,Canada,,,,,CSE,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ORI,ORI,Geospatial Technology,Technology,ANALYTICS,Australia,,,,,ASX,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SORT,SORT,Geospatial Technology,Technology,ANALYTICS,United Kingdom,,,,,LSE,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
TDC,TDC,Software - Infrastructure,Software,Infrastructure,United States,,,,Teradata Corporation,NASDAQ,"Provides software infrastructure platforms that include geospatial databases, spatial analytics, and location services.",,2.1153825,2115382500,1750000000,114000000,22.385,19.81,-0.04528096017,0.8387096774,0.06332757628,0.7432432432,
VXTR,VXTR,Geospatial Technology,Technology,ANALYTICS,Canada,,,,,TSXV,"Company listed in The Geospatial Index under ANALYTICS category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
VRSK,VRSK,Consulting Services,Consulting Services,,United States,,,,"Verisk Analytics, Inc.",NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,34.7051988,34705198796,2881700000,957500000,248.4,37.87,0.0746997837,0.5584309896,0.1910154539,4.390699904,
AYI,AYI,Electrical Equipment & Parts,Electrical Equipment & Parts,,United States,,,,"Acuity Brands, Inc.",NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,10.85838332,10858383323,4345600000,396600000,354.33,28.26,0.1313720385,-0.06152389967,0.08340343203,0.1541286543,
BB,BB,Software - Infrastructure,Software,Infrastructure,United States,,,,BlackBerry Limited,NASDAQ,Offers geospatial technology solutions including black services and products.,,2.674274311,2674274311,534900000,-79000000,4.5053,112.63,-0.2953497563,0.3932411674,-0.002568807339,-0.005161290323,
CSCO,CSCO,Communication Equipment,Communication Equipment,,United States,,,,"Cisco Systems, Inc.",NASDAQ,Manufactures communication equipment with GPS/positioning capabilities and location-aware networking solutions.,https://www.cisco.com/c/en/us/solutions/industries/smart-connected-communities.html,270.7742253,270774225296,56654000000,10453000000,68.495,26.76,0.05298961024,0.0128875969,0.08547644553,0.227752812,
DGII,DGII,Communication Equipment,Communication Equipment,,United States,,,,Digi International Inc.,NASDAQ,Manufactures communication equipment with GPS/positioning capabilities and location-aware networking solutions.,,1.379274672,1379274672,424046000,22505000,37.155,32.59,-0.0467641829,-0.09144125959,0.05541182411,0.07118975499,
HLMA,HLMA,Geospatial Technology,Technology,ASSETTRACKING,United Kingdom,,,,,LSE,"Company listed in The Geospatial Index under ASSETTRACKING category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
PI,PI,Communication Equipment,Communication Equipment,,United States,,,,"Impinj, Inc.",NASDAQ,Manufactures communication equipment with GPS/positioning capabilities and location-aware networking solutions.,,5.558458347,5558458347,366087000,40838000,191.08,-3184.67,0.1903758548,1.941705484,0.001244062207,0.003992330689,
AIOT,AIOT,Communication Equipment,Communication Equipment,,United States,,,,"PowerFleet, Inc.",NASDAQ,Manufactures communication equipment with GPS/positioning capabilities and location-aware networking solutions.,,0.699910067,699910067,362515000,-51012000,5.245,-17.48,1.710676258,-7.988898678,-0.04180355873,-0.08565187937,
SECU,SECU,Geospatial Technology,Technology,ASSETTRACKING,Sweden,,,,,OMXSTO,"Company listed in The Geospatial Index under ASSETTRACKING category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
SYM,SYM,Industrial - Machinery,Industrial,Machinery,United States,,,,Symbotic Inc.,NASDAQ,Manufactures industrial machinery with integrated GPS and positioning systems for construction and manufacturing.,,38.17892421,38178924214,1788179000,-13490000,64.34,-714.89,0.5194091891,0.4347607475,-0.00573379497,-0.05137218852,
XTIA,XTIA,Geospatial Technology,Technology,ASSETTRACKING,United States,,,,,NASDAQ,"Company listed in The Geospatial Index under ASSETTRACKING category. Listed as geospatial technology provider with spatial computing, mapping, or location-based services.",,,,,,,,,,,,
ZBRA,ZBRA,Communication Equipment,Communication Equipment,,United States,,,,Zebra Technologies Corporation,NASDAQ,Manufactures communication equipment with GPS/positioning capabilities and location-aware networking solutions.,,15.74551281,15745512812,4981000000,528000000,309.6758,29.52,0.08660558464,0.7837837838,0.06903502142,0.1538245614,
APTV,APTV,Auto - Parts,Auto,Parts,United States,,,,Aptiv PLC,NASDAQ,"Uses geospatial technology in business operations including location analytics, asset tracking, or spatial data management.",,19.14435378,19144353784,19713000000,1787000000,87.915,19.89,-0.01685701461,-0.3917631042,0.04231058391,0.1115362383,
AUR,AUR,Information Technology Services,Information Technology Services,,United States,,,,"Aurora Innovation, Inc.",NASDAQ,"Provides IT services including geospatial consulting, GIS implementation, and location intelligence solutions.",,10.07136058,10071360579,0,-748000000,5.455,-11.61,0.0,0.06030150754,-0.3658536585,-0.4224801147,
EVEX,EVEX,Aerospace & Defense,Aerospace/Defense,,United States,,,,"Eve Holding, Inc.",NASDAQ,"Designs aerospace and defense systems including satellite technology, navigation systems, and military geospatial intelligence.",,1.355472978,1355472978,0,-138168000,4.505,-7.15,0.0,-0.08232934873,-0.7278077489,-2.014529488,
F,F,Auto - Manufacturers,Auto,Manufacturers,United States,,,,Ford Motor Company,NASDAQ,"Builds vehicles equipped with GPS navigation systems, mapping technology, and autonomous driving capabilities.",,48.19807137,48198071365,184992000000,5879000000,12.33,15.81,0.04995147312,0.3524269611,0.01076436929,0.07047561535,
GM,GM,Auto - Manufacturers,Auto,Manufacturers,United States,,,,General Motors Company,NASDAQ,"Builds vehicles equipped with GPS navigation systems, mapping technology, and autonomous driving capabilities.",,56.40584932,56405849320,187442000000,6008000000,59.245,9.05,0.09078106633,-0.4067344722,0.0164971111,0.07213060262,
